Brewery,City,Name,Abv,Ibu,Srm,Tags
Deschutes Brewery,Bend,Black Butte Porter,5.2%,?,?,irish_ale|porter
Deschutes Brewery,Bend,Black Butte XXI,11%,?,?,irish_ale|porter
Deschutes Brewery,Bend,Bond Street 19th Anniversary,8.7%,?,?,?
Deschutes Brewery,Bend,Brocken Top Bock,6%,?,?,german_lager|traditional_german_style_bock
Deschutes Brewery,Bend,Buzzsaw Brown,4.8%,?,?,north_american_ale|american_style_brown_ale
Deschutes Brewery,Bend,Cascade Golden Ale,4.5%,?,?,north_american_ale|american_style_pale_ale
Deschutes Brewery,Bend,Cinder Cone Red,5.4%,?,?,north_american_ale|american_style_amber_red_ale
Deschutes Brewery,Bend,Green Lakes Organic Ale,5.2%,?,?,north_american_ale|american_style_amber_red_ale
Deschutes Brewery,Bend,Hop Henge Imperial IPA,8.75%,?,?,north_american_ale|imperial_or_double_india_pale_ale
Deschutes Brewery,Bend,Hop Trip Fresh Hop Pale Ale,5.5%,?,?,north_american_ale|american_style_pale_ale
Deschutes Brewery,Bend,Inversion IPA,6.8%,?,?,north_american_ale|american_style_india_pale_ale
Deschutes Brewery,Bend,Jubel 2000,?,?,?,british_ale|old_ale
Deschutes Brewery,Bend,Jubelale,6.7%,?,?,other_style|winter_warmer
Deschutes Brewery,Bend,Mirror Mirror,11%,?,?,north_american_ale|american_style_barley_wine_ale
Deschutes Brewery,Bend,Mirrorpond Pale Ale,5%,?,?,north_american_ale|american_style_pale_ale
Deschutes Brewery,Bend,Obsidian Stout,6.4%,?,?,north_american_ale|american_style_stout
Deschutes Brewery,Bend,Quail Springs IPA,6%,?,?,north_american_ale|american_style_india_pale_ale
Deschutes Brewery,Bend,Red Chair IPA,6.4%,?,?,north_american_ale|american_style_india_pale_ale
Deschutes Brewery,Bend,The Abyss,11%,?,?,north_american_ale|american_style_imperial_stout
Deschutes Brewery,Bend,Twilight Ale,5%,?,?,north_american_ale|american_style_pale_ale
Double Mountain Brewery & Taproom,Hood River,Double Mountain Altbier,5.6%,?,?,german_ale|german_style_brown_ale_altbier
Double Mountain Brewery & Taproom,Hood River,Double Mountain Kolsch,5.2%,?,?,?
Double Mountain Brewery & Taproom,Hood River,Double Mountain Pale Ale,5.1%,?,?,north_american_ale|american_style_pale_ale
Double Mountain Brewery & Taproom,Hood River,Hop Lava,7%,?,?,north_american_ale|american_style_india_pale_ale
Double Mountain Brewery & Taproom,Hood River,India Red Ale (The \IRA\")",6.8%,?,?,north_american_ale|american_style_india_pale_ale
Full Sail Brewing #1,Hood River,Amber Ale,?,?,?,north_american_ale|american_style_amber_red_ale
Full Sail Brewing #1,Hood River,India Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
Full Sail Brewing #1,Hood River,LTD 02 Lager,6.4%,?,?,german_lager|traditional_german_style_bock
Full Sail Brewing #1,Hood River,Nugget,?,?,?,north_american_ale|american_style_amber_red_ale
Full Sail Brewing #1,Hood River,Old Boardhead 1999,?,?,?,?
Full Sail Brewing #1,Hood River,Old Boardhead 2006,9%,?,?,?
Full Sail Brewing #1,Hood River,Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
Full Sail Brewing #1,Hood River,Session Premium Lager,5.1%,?,?,north_american_lager|american_style_lager
Full Sail Brewing #1,Hood River,Slip Knot Imperial IPA 2006,7.8%,?,?,north_american_ale|american_style_india_pale_ale
Full Sail Brewing #1,Hood River,Very Special Pale Golden Ale,5.9%,?,?,north_american_ale|american_style_pale_ale
Full Sail Brewing #1,Hood River,Wassail Winter Ale,?,?,?,british_ale|old_ale
Golden Valley Brewery and Pub,McMinnville,Chehalem Mountain IPA,?,?,?,north_american_ale|american_style_india_pale_ale
Golden Valley Brewery and Pub,McMinnville,Dundee Porter,?,?,?,irish_ale|porter
Golden Valley Brewery and Pub,McMinnville,Geist Bock,6.1%,?,?,german_lager|traditional_german_style_bock
Golden Valley Brewery and Pub,McMinnville,Tannen Bomb,8%,?,?,?
Hair of the Dog Brewing,Portland,Adam,10%,?,?,british_ale|old_ale
Hair of the Dog Brewing,Portland,Blue Dot Double India Pale Ale,7%,?,?,north_american_ale|imperial_or_double_india_pale_ale
Hair of the Dog Brewing,Portland,Doggie Claws 2004,11.5%,?,?,?
Hair of the Dog Brewing,Portland,Fred,10%,?,?,?
Hair of the Dog Brewing,Portland,Golden Rose,6%,?,?,?
Hair of the Dog Brewing,Portland,Rose,7.5%,?,?,?
Hair of the Dog Brewing,Portland,Ruth,4.5%,?,?,?
Hawks Brewing,Roseburg,Imperial Gold Malt Liquor,9.9%,?,?,north_american_lager|american_style_lager
Hawks Brewing,Roseburg,Super Natural ESB,?,?,?,?
Hawks Brewing,Roseburg,Super Natural IPA,?,?,?,north_american_ale|american_style_india_pale_ale
Hawks Brewing,Roseburg,Super Natural Oatmeal Stout,8%,?,?,north_american_ale|american_style_stout
Hopworks Urban Brewery,Portland,Crosstown Pale Ale,5.3%,?,?,north_american_ale|american_style_pale_ale
Hopworks Urban Brewery,Portland,Deluxe Organic Ale,6.9%,?,?,north_american_ale|american_style_strong_pale_ale
Hopworks Urban Brewery,Portland,HUB Lager,5.1%,?,?,german_lager|german_style_pilsener
Hopworks Urban Brewery,Portland,Hopworks IPA,6.6%,?,?,north_american_ale|american_style_india_pale_ale
Hopworks Urban Brewery,Portland,Secession Black India Pale Ale (CDA),6.5%,?,?,?
Hopworks Urban Brewery,Portland,Survival Stout,5.3%,?,?,british_ale|oatmeal_stout
Hopworks Urban Brewery,Portland,Velvet ESB,5.2%,?,?,british_ale|extra_special_bitter
Main Street Alehouse,Gresham,Eager Beaver IPA,?,?,?,north_american_ale|american_style_india_pale_ale
Main Street Alehouse,Gresham,Powell Porter,?,?,?,irish_ale|porter
Mia and Pia's Pizzeria and Brewhouse,Klamath Falls,Kalamath Basin IPA,?,?,?,north_american_ale|american_style_india_pale_ale
Nor'Wester Brewery and Public House,Portland,Blacksmith Porter,?,?,?,irish_ale|porter
Nor'Wester Brewery and Public House,Portland,Hefe Weizen,?,?,?,north_american_lager|american_style_lager
Nor'Wester Brewery and Public House,Portland,Honey Weizen,?,?,?,north_american_lager|american_style_lager
Nor'Wester Brewery and Public House,Portland,Raspberry Weizen,?,?,?,other_style|light_american_wheat_ale_or_lager
Oakshire,Eugene,Watershed IPA,7.1%,?,?,north_american_ale|american_style_strong_pale_ale
Oakshire,Eugene,Watershed IPA,7.1%,?,?,north_american_ale|american_style_strong_pale_ale
Oregon Trader Brewing,Albany,Russian Imperial Stout,?,?,?,north_american_ale|american_style_stout
Oregon Trail Brewery,Corvallis,Bourbon Barrel Porter,9.1%,?,?,?
Pelican Pub & Brewery,Pacific City,Bridal Ale 2005,?,?,?,?
Pelican Pub & Brewery,Pacific City,Doryman's Dark Ale,5.8%,?,?,north_american_ale|american_style_brown_ale
Pelican Pub & Brewery,Pacific City,India Pelican Ale,?,?,?,north_american_ale|american_style_pale_ale
Portland Brewing,Portland,Benchmark Old Ale,9.9%,?,?,british_ale|old_ale
Portland Brewing,Portland,Zig Zag Lager,?,?,?,?
Raccoon Lodge and Brewpub / Cascade Brewing,Portland,Bad Billy Blond Bock,6.2%,?,?,german_lager|german_style_heller_bock_maibock
Raccoon Lodge and Brewpub / Cascade Brewing,Portland,Cascade Apricot Ale,9%,?,?,belgian_and_french_ale|belgian_style_fruit_lambic
Raccoon Lodge and Brewpub / Cascade Brewing,Portland,Cascade Cuv̩e Du Jongleur,8.41%,?,?,?
Raccoon Lodge and Brewpub / Cascade Brewing,Portland,Cascade Kreik Ale,6.6%,?,?,?
Raccoon Lodge and Brewpub / Cascade Brewing,Portland,Cascade Razberry Wheat,4.5%,?,?,other_style|fruit_beer
Raccoon Lodge and Brewpub / Cascade Brewing,Portland,Cascade Sang Royal,8.87%,?,?,?
Raccoon Lodge and Brewpub / Cascade Brewing,Portland,Celtic Copper Ale,5.2%,?,?,north_american_ale|american_style_amber_red_ale
Raccoon Lodge and Brewpub / Cascade Brewing,Portland,Old Salt IPA,5.8%,?,?,north_american_ale|american_style_india_pale_ale
Raccoon Lodge and Brewpub / Cascade Brewing,Portland,Ring Tail Pale Ale,4.2%,?,?,north_american_ale|american_style_pale_ale
Rogue Ales,Newport,American Amber Ale,5.6%,?,?,north_american_ale|american_style_amber_red_ale
Rogue Ales,Newport,Artisan Lager,?,?,?,north_american_lager|american_style_lager
Rogue Ales,Newport,Brutal Bitter,6.5%,?,?,british_ale|extra_special_bitter
Rogue Ales,Newport,Chamomellow,?,?,?,north_american_ale|american_style_pale_ale
Rogue Ales,Newport,Charlie 1981,8.5%,?,?,?
Rogue Ales,Newport,Chipotle Ale,?,?,?,?
Rogue Ales,Newport,Chocolate Stout,6%,?,?,north_american_ale|american_style_stout
Rogue Ales,Newport,Dad's Little Helper,?,?,?,?
Rogue Ales,Newport,Dead Guy Ale,6.5%,?,?,german_lager|german_style_heller_bock_maibock
Rogue Ales,Newport,Double Dead Guy Ale,9%,?,?,german_lager|german_style_doppelbock
Rogue Ales,Newport,Dry Hopped St. Rogue Red Ale,5.1%,?,?,north_american_ale|american_style_amber_red_ale
Rogue Ales,Newport,Frosty Frog,9%,?,?,other_style|winter_warmer
Rogue Ales,Newport,Golden Frog,6%,?,?,belgian_and_french_ale|other_belgian_style_ales
Rogue Ales,Newport,Half-E-Weizen,4.8%,?,?,belgian_and_french_ale|belgian_style_white
Rogue Ales,Newport,Hazelnut Brown Nectar,6%,?,?,north_american_ale|american_style_brown_ale
Rogue Ales,Newport,Honey Cream Ale,5.5%,?,?,other_style|american_style_cream_ale_or_lager
Rogue Ales,Newport,Honey Orange Wheat,?,?,?,other_style|light_american_wheat_ale_or_lager
Rogue Ales,Newport,Hoppy Frog,6.5%,?,?,north_american_ale|american_style_india_pale_ale
Rogue Ales,Newport,Imperial India Pale Ale / I2PA,9.5%,?,?,north_american_ale|imperial_or_double_india_pale_ale
Rogue Ales,Newport,Imperial Red,9%,?,?,north_american_ale|american_style_amber_red_ale
Rogue Ales,Newport,Issaquah Bullfrog Ale,?,?,?,other_style|light_american_wheat_ale_or_lager
Rogue Ales,Newport,Jittery Frog,6%,?,?,?
Rogue Ales,Newport,Juniper Pale Ale,5.3%,?,?,other_style|herb_and_spice_beer
Rogue Ales,Newport,Kells Irish Style Lager,5%,?,?,north_american_lager|american_style_lager
Rogue Ales,Newport,Menage Frog,9%,?,?,belgian_and_french_ale|belgian_style_tripel
Rogue Ales,Newport,Mocha Porter / New Porter,5.3%,?,?,irish_ale|porter
Rogue Ales,Newport,Mogul Ale,6.25%,?,?,?
Rogue Ales,Newport,Monk Madness Ale,7.4%,?,?,north_american_ale|american_style_brown_ale
Rogue Ales,Newport,Morimoto Black Obi Soba Ale,?,?,?,other_style|fruit_beer
