Brewery,City,Name,Abv,Ibu,Srm,Tags
Spoetzl Brewery,Shiner,Shiner Kosmos Reserve,?,?,?,north_american_lager|american_style_lager
Spoetzl Brewery,Shiner,Shiner Summer Stock K̦lsch Beer,?,?,?,?
Steel Brewing,Longview,High Gravity Lager,8.1%,?,?,north_american_lager|american_style_lager
TwoRows Restaurant & Brewery - Dallas,Dallas,Barking Fish Porter,?,?,?,irish_ale|porter
TwoRows Restaurant & Brewery - Dallas,Dallas,Bulldog Brown,?,?,?,north_american_ale|american_style_brown_ale
TwoRows Restaurant & Brewery - Dallas,Dallas,ESB,?,?,?,?
TwoRows Restaurant & Brewery - Dallas,Dallas,Honey Blonde Light Pale Ale,?,?,?,?
TwoRows Restaurant & Brewery - Dallas,Dallas,Osage Golden Wheat Ale,?,?,?,north_american_lager|american_style_lager
TwoRows Restaurant & Brewery - Dallas,Dallas,Route 66 Amber Ale,?,?,?,north_american_ale|american_style_amber_red_ale
Yegua Creek Brewing - Dallas,Dallas,Blueberry Blonde,?,?,?,other_style|light_american_wheat_ale_or_lager
Yegua Creek Brewing - Dallas,Dallas,Cask Scotch Ale,?,?,?,?
Yegua Creek Brewing - Dallas,Dallas,Golden Wheat,?,?,?,north_american_lager|american_style_lager
Yegua Creek Brewing - Dallas,Dallas,Icehaus Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
Yegua Creek Brewing - Dallas,Dallas,Oktoberfest,?,?,?,german_lager|german_style_oktoberfest
Yegua Creek Brewing - Dallas,Dallas,White Rock Red,?,?,?,north_american_ale|american_style_amber_red_ale
