Brewery,City,Name,Abv,Ibu,Srm,Tags
Boston Beer Company,Boston,Samuel Adams OctoberFest,5.7%,?,?,german_lager|german_style_oktoberfest
Boston Beer Company,Boston,Samuel Adams Old Fezziwig Ale,5.9%,?,?,?
Boston Beer Company,Boston,Samuel Adams Pale Ale,5.25%,?,?,north_american_ale|american_style_pale_ale
Boston Beer Company,Boston,Samuel Adams Scotch Ale,5.4%,?,?,british_ale|scotch_ale
Boston Beer Company,Boston,Samuel Adams Spring Ale,?,?,?,?
Boston Beer Company,Boston,Samuel Adams Summer Ale,5.2%,?,?,other_style|light_american_wheat_ale_or_lager
Boston Beer Company,Boston,Samuel Adams Triplebock 1994,17%,?,?,?
Boston Beer Company,Boston,Samuel Adams Triplebock 1995,?,?,?,?
Boston Beer Company,Boston,Samuel Adams Utopias MMIV,24%,?,?,?
Boston Beer Company,Boston,Samuel Adams White Ale,?,?,?,belgian_and_french_ale|belgian_style_white
Boston Beer Company,Boston,Samuel Adams Winter Lager,5.8%,?,?,german_lager|traditional_german_style_bock
Boston Beer Works,Boston,Boston Red,?,?,?,north_american_ale|american_style_amber_red_ale
Boston Beer Works,Boston,Buckeye Oatmeal Stout,?,?,?,north_american_ale|american_style_stout
Boston Beer Works,Boston,Fenway American Pale Ale,?,?,?,north_american_ale|american_style_pale_ale
Boston Beer Works,Boston,Hercules Stong Ale,?,?,?,?
Boston Beer Works,Boston,IPA,?,?,?,north_american_ale|american_style_india_pale_ale
Boston Beer Works,Boston,Kenmore K̦lsch,?,?,?,?
Brewery at Martha's Vineyard,Oak Bluffs,Extra Stout,?,?,?,north_american_ale|american_style_stout
Buzzards Bay Brewing Inc.,Westport,Olde Buzzard Lager,5%,?,?,north_american_lager|american_style_lager
Cambridge Brewing,Cambridge,Cambridge Amber,4.3%,?,?,north_american_ale|american_style_amber_red_ale
Cambridge Brewing,Cambridge,Charles River Porter,6%,?,?,irish_ale|porter
Cambridge Brewing,Cambridge,Regatta Golden,4.2%,?,?,?
Cambridge Brewing,Cambridge,Tall Tale Pale Ale,4.9%,?,?,north_american_ale|american_style_pale_ale
Cambridge Brewing,Cambridge,Wheaten Ale,?,?,?,north_american_lager|american_style_lager
Commonwealth Brewing #1,Boston,Amber Ale,?,?,?,north_american_ale|american_style_amber_red_ale
Commonwealth Brewing #1,Boston,Classic Stout,?,?,?,north_american_ale|american_style_stout
Commonwealth Brewing #1,Boston,Famous Porter,?,?,?,irish_ale|porter
Commonwealth Brewing #1,Boston,Golden Ale,?,?,?,north_american_ale|american_style_pale_ale
Commonwealth Brewing #1,Boston,Special Old Ale,?,?,?,british_ale|old_ale
Element Brewing Company,Millers Falls,Dark Element,8.75%,65.5,22,other_style|specialty_beer
Harpoon Brewery - Boston,Boston,Glacier Harvest '09 Wet Hop (100 Barrel Series #28),6.7%,?,?,north_american_ale|american_style_pale_ale
Harpoon Brewery - Boston,Boston,Harpoon Ale,5%,?,?,north_american_ale|american_style_pale_ale
Harpoon Brewery - Boston,Boston,Harpoon Brown Session Ale,4.3%,?,?,north_american_ale|american_style_brown_ale
Harpoon Brewery - Boston,Boston,Harpoon Celtic Ale,?,?,?,irish_ale|irish_style_red_ale
Harpoon Brewery - Boston,Boston,Harpoon Leviathan,10%,?,?,north_american_ale|imperial_or_double_india_pale_ale
Harpoon Brewery - Boston,Boston,Harpoon Munich Dark,5.5%,?,?,north_american_ale|american_style_brown_ale
Harpoon Brewery - Boston,Boston,Harpoon UFO Hefeweizen,4.8%,?,?,german_ale|south_german_style_hefeweizen
Harpoon Brewery - Boston,Boston,Harpoon Winter Warmer,5.9%,?,?,other_style|herb_and_spice_beer
Harpoon Brewery - Boston,Boston,UFO Raspberry Hefeweizen,4.8%,?,?,other_style|fruit_beer
John Harvard's Brew House - Framingham,Framingham,Wilmington Roggen Beer,?,?,?,north_american_lager|american_style_lager
John Harvard's Brew House - Harvard Square,Cambridge,Framingham Maibock,?,?,?,german_lager|traditional_german_style_bock
Mercury Brewing Company,Ipswich,1084 Barleywine,?,?,?,north_american_ale|american_style_barley_wine_ale
Mercury Brewing Company,Ipswich,Ipswich Dark Ale,6.3%,?,?,north_american_ale|american_style_brown_ale
Mercury Brewing Company,Ipswich,Ipswich Harvest,6.9%,?,?,north_american_ale|american_style_amber_red_ale
Mercury Brewing Company,Ipswich,Ipswich IPA,6.3%,?,?,north_american_ale|american_style_india_pale_ale
Mercury Brewing Company,Ipswich,Ipswich Nut Brown,5.5%,?,?,north_american_ale|american_style_brown_ale
Mercury Brewing Company,Ipswich,Ipswich Oatmeal Stout,7%,?,?,british_ale|oatmeal_stout
Mercury Brewing Company,Ipswich,Ipswich Original Ale,5.4%,?,?,north_american_ale|american_style_pale_ale
Mercury Brewing Company,Ipswich,Ipswich Porter,5.9%,?,?,irish_ale|porter
Mercury Brewing Company,Ipswich,Ipswich Summer,4.9%,?,?,north_american_ale|golden_or_blonde_ale
Mercury Brewing Company,Ipswich,Ipswich Winter,6.2%,?,?,british_ale|old_ale
New Century Brewing Company,Boston,Edison Light Beer,?,?,?,north_american_lager|american_style_lager
Paper City Brewing Company,Holyoke,Holyoke Dam Ale,?,?,?,north_american_ale|american_style_pale_ale
Wachusetts Brewing Company,Westminster,Green Monsta Ale,7.3%,?,?,north_american_ale|american_style_strong_pale_ale
Wachusetts Brewing Company,Westminster,Wachusetts IPA,?,?,?,north_american_ale|american_style_india_pale_ale
Watch City Brewing,Waltham,Hops Explosion IPA,?,?,?,north_american_ale|american_style_india_pale_ale
